sheet,column,gap_status,confidence,candidate_current_tables,candidate_any_schema,rationale
Item Body,Free Qty,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.FreeQty,PreviousYear_POSSales_Table.FreeQty; Product_Schemes_Table.FreeQty; ProductSchemes_BenefitsBody_Table.FreeQty; Retail_Schemes_Table.FreeQty; Transaction_ItemBody_Table.FreeQty; Transaction_ItemBody1_Table.FreeQty; Transaction_ReturnItemBody_Table.FreeQty,Exact/alias match exists in currently integrated ERP tables.
Item Body,Free Packages,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.FreePackages,PreviousYear_POSSales_Table.FreePackages; Transaction_ItemBody_Table.FreePackages; Transaction_ItemBody1_Table.FreePackages; Transaction_ReturnItemBody_Table.FreePackages,Exact/alias match exists in currently integrated ERP tables.
Item Body,Broken,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Item Body,Broken Packages,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Item Body,CF,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.CCF,AssetSale_ItemBody_Table.CF; DeliveryPackingListDetails_Table.CF; LastYearInformation_Body_Table.CF; Transaction_ItemBody_Table.CCF; Transaction_ItemBody1_Table.CCF,Exact/alias match exists in currently integrated ERP tables.
Item Body,BaseUnitQty,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.QuantityInBasUOM; Transaction_ItemBody_Table.Quantity,AssetSale_ItemBody_Table.BaseUnitQty; DeliveryPackingListDetails_Table.BaseUnitQty; LastYearInformation_Body_Table.BaseUnitQty; PreviousYear_POSSales_Table.QuantityInBasUOM; Transaction_ItemBody_Table.QuantityInBasUOM; Transaction_ItemBody1_Table.QuantityInBasUOM; Transaction_ReturnItemBody_Table.QuantityInBasUOM; ApparelPhysicalStockUpdate_ItemBody_Table.Quantity; AssetAllotmentDetails_Table.Quantity; Assets_ComponentDetails_Table.Quantity; Assets_PuttoUseDetails_Table.quantity; AssetSale_ItemBody_Table.Quantity,Exact/alias match exists in currently integrated ERP tables.
Item Body,Incl Rate,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.inclrate,PreviousYear_POSSales_Table.inclrate; Transaction_ItemBody_Table.inclrate; Transaction_ItemBody1_Table.inclrate,Exact/alias match exists in currently integrated ERP tables.
Item Body,StkQty,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.StkQty,PreviousYear_POSSales_Table.StkQty; Transaction_ItemBody_Table.StkQty; Transaction_ItemBody1_Table.StkQty,Exact/alias match exists in currently integrated ERP tables.
Item Body,Disc Rate,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.DiscRate,AssetSale_ItemBody_Table.DiscRate; CoverNoteItemDetails_Table.DiscRate; PreviousYear_POSSales_Table.DiscRate; RoomCheckinDetails_Table.DiscRate; RoomReservationDetails_Table.DiscRate; SaudaItemDetails_Table.DiscRate; ServiceBooking_ItemBody_Table.DiscRate; Transaction_ItemBody_Table.DiscRate; Transaction_ItemBody1_Table.DiscRate; Transaction_ReturnItemBody_Table.DiscRate,Exact/alias match exists in currently integrated ERP tables.
Item Body,Discount,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.Discount; Transaction_Payments_Table.Discount,AssetSale_ItemBody_Table.Discount; CoverNoteItemDetails_Table.Discount; DayEnd_Header_Table.Discount; FeeReceivedDetails_table.Discount; KOT_CancellationOrBill_Table.Discount; LRBooking_ItemDetails_Table.Discount; Master_Prices_Table.Discount; Master_UnitWisePrices_Table.Discount; PendingDetails_Table.Discount; PendingDetails_Table_202210121.Discount; PermitDetails_Table.Discount; PreviousYear_POSSales_Table.Discount,Exact/alias match exists in currently integrated ERP tables.
Item Body,AddlDiscRate,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.AddlDiscRate,PreviousYear_POSSales_Table.AddlDiscRate; Transaction_ItemBody_Table.AddlDiscRate; Transaction_ItemBody1_Table.AddlDiscRate; Transaction_ReturnItemBody_Table.AddlDiscRate,Exact/alias match exists in currently integrated ERP tables.
Item Body,AddlDisc,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.AddlDisc,PreviousYear_POSSales_Table.AddlDisc; Transaction_ItemBody_Table.AddlDisc; Transaction_ItemBody1_Table.AddlDisc; Transaction_ReturnItemBody_Table.AddlDisc,Exact/alias match exists in currently integrated ERP tables.
Item Body,TotalDisc,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.TotalDisc,PreviousYear_POSSales_Table.TotalDisc; Transaction_ItemBody_Table.TotalDisc; Transaction_ItemBody1_Table.TotalDisc; Transaction_ReturnItemBody_Table.TotalDisc,Exact/alias match exists in currently integrated ERP tables.
Item Body,GrossMinusDisc,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.GrossMinusDisc; Transaction_Payments_Table.GrossMinusDisc,CoverNoteItemDetails_Table.GrossMinusDisc; PreviousYear_POSSales_Table.GrossMinusDisc; SaudaItemDetails_Table.GrossMinusDisc; ServiceBooking_ItemBody_Table.GrossMinusDisc; Transaction_BodyTaxes_Table.GrossMinusDisc; Transaction_ItemBody_Table.GrossMinusDisc; Transaction_ItemBody1_Table.GrossMinusDisc; Transaction_Payments_Table.GrossMinusDisc; Transaction_PDC_Table.GrossMinusDisc; Transaction_ReturnItemBody_Table.GrossMinusDisc,Exact/alias match exists in currently integrated ERP tables.
Item Body,AssessableValue,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,Transaction_BodyTaxes_Table.AssessableValue,Match exists in script.sql but outside current connector table scope.
Item Body,ServiceTaxRate,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,Transaction_Adjustments_Table.ServiceTaxRate; Transaction_BodyTaxes_Table.ServiceTaxRate,Match exists in script.sql but outside current connector table scope.
Item Body,ServiceTax,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,Transaction_Adjustments_Table.ServiceTax; Transaction_BodyTaxes_Table.ServiceTax,Match exists in script.sql but outside current connector table scope.
Item Body,BEDRate,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,Transaction_BodyTaxes_Table.BEDRate,Match exists in script.sql but outside current connector table scope.
Item Body,BED,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,Transaction_BodyTaxes_Table.BED,Match exists in script.sql but outside current connector table scope.
Item Body,EdCessRate,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,Transaction_Adjustments_Table.EdCessRate; Transaction_BodyTaxes_Table.EDCessRate,Match exists in script.sql but outside current connector table scope.
Item Body,EdCess,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,Transaction_Adjustments_Table.EdCess; Transaction_BodyTaxes_Table.EDCess,Match exists in script.sql but outside current connector table scope.
Item Body,SHEdCessRate,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,Transaction_Adjustments_Table.SHEdCessRate; Transaction_BodyTaxes_Table.SHEDCessRate,Match exists in script.sql but outside current connector table scope.
Item Body,SHEdCess,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,Transaction_Adjustments_Table.SHEdCess; Transaction_BodyTaxes_Table.SHEDCess,Match exists in script.sql but outside current connector table scope.
Item Body,ImportFeeRate,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,Transaction_BodyTaxes_Table.ImportFeeRate,Match exists in script.sql but outside current connector table scope.
Item Body,ImportFee,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,PermitDetails_Table.ImportFee; Transaction_BodyTaxes_Table.ImportFee,Match exists in script.sql but outside current connector table scope.
Item Body,TotalServiceTax,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.TotalServiceTax,PreviousYear_POSPartyDetails_Table.TotalServiceTax; Transaction_BodyTaxes_Table.TotalServiceTax; Transaction_Header_Table.TotalServiceTax,Exact/alias match exists in currently integrated ERP tables.
Item Body,Excise,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.Excise,AssetSale_ItemBody_Table.Excise; CompanyDetails_Table.Excise; PreviousYear_POSSales_Table.Excise; Transaction_BodyTaxes_Table.Excise; Transaction_ItemBody_Table.Excise; Transaction_ItemBody1_Table.Excise; Transaction_ReturnItemBody_Table.Excise,Exact/alias match exists in currently integrated ERP tables.
Item Body,CSTRate,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.CSTRate,Transaction_BodyTaxes_Table.CSTRate; Transaction_ItemBody_Table.CSTRate; Transaction_ItemBody1_Table.CSTRate,Exact/alias match exists in currently integrated ERP tables.
Item Body,CST,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Master_RegistrationDetails_Table.CST; Transaction_ItemBody_Table.CST,CompanyDetails_Table.cst; Master_RegistrationDetails_Table.CST; Transaction_BodyTaxes_Table.CST; Transaction_ItemBody_Table.CST; Transaction_ItemBody1_Table.CST,Exact/alias match exists in currently integrated ERP tables.
Item Body,AddlVATRate,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.AddlVATRate,Transaction_Adjustments_Table.AddlVATRate; Transaction_BodyTaxes_Table.AddlVATRate; Transaction_ItemBody_Table.AddlVATRate; Transaction_ItemBody1_Table.AddlVATRate,Exact/alias match exists in currently integrated ERP tables.
Item Body,AddlVAT,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.AddlVAT,Transaction_Adjustments_Table.AddlVAT; Transaction_BodyTaxes_Table.AddlVAT; Transaction_ItemBody_Table.AddlVAT; Transaction_ItemBody1_Table.AddlVAT,Exact/alias match exists in currently integrated ERP tables.
Item Body,ST/VAT,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.STVAT,AssetSale_ItemBody_Table.STVAT; PreviousYear_POSSales_Table.STVAT; Transaction_ItemBody_Table.STVAT; Transaction_ItemBody1_Table.STVAT; Transaction_ReturnItemBody_Table.STVAT,Exact/alias match exists in currently integrated ERP tables.
Item Body,Addl Cost Account,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,Transaction_BodyAdditionalColumns_Table.addlcostaccount,Match exists in script.sql but outside current connector table scope.
Item Body,Addl Cost,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,Transaction_BodyAdditionalColumns_Table.addlcost,Match exists in script.sql but outside current connector table scope.
Item Body,Division,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.Division; Transaction_Payments_Table.Division,AssetSale_AdjustmentsBody_Table.Division; AssetSale_ItemBody_Table.Division; AssetStockLedger_Table.Division; BudgetDetails_Table.Division; Company_Details_Table.Division; CompanyDetails_Table.division; deleteddutydrawback.Division; ledbak2118.Division; Ledger_Table.Division; LedgerAccErr.Division; obbca.Division; obstodelete.Division,Exact/alias match exists in currently integrated ERP tables.
Item Body,Project,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.Project; Transaction_Payments_Table.Project,AssetSale_AdjustmentsBody_Table.Project; AssetSale_ItemBody_Table.Project; AssetStockLedger_Table.Project; BudgetDetails_Table.Project; deleteddutydrawback.Project; ledbak2118.Project; Ledger_Table.Project; LedgerAccErr.Project; obbca.Project; obstodelete.Project; PreviousYear_POSSales_Table.Project; StockLedger_Table.Project,Exact/alias match exists in currently integrated ERP tables.
Item Body,Profit Centre,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.ProfitCentre; Transaction_Payments_Table.ProfitCentre,AssetSale_AdjustmentsBody_Table.ProfitCentre; AssetSale_ItemBody_Table.ProfitCentre; AssetStockLedger_Table.ProfitCentre; BudgetDetails_Table.ProfitCentre; deleteddutydrawback.ProfitCentre; ledbak2118.ProfitCentre; Ledger_Table.ProfitCentre; LedgerAccErr.ProfitCentre; obbca.ProfitCentre; obstodelete.ProfitCentre; PreviousYear_POSSales_Table.ProfitCentre; StockLedger_Table.ProfitCentre,Exact/alias match exists in currently integrated ERP tables.
Item Body,Comments1,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.Comments1; Transaction_Payments_Table.Comments1,AdvanceLicenseDetails_Table.Comments1; AssetAllotmentDetails_Table.Comments1; AssetSale_AdjustmentsBody_Table.Comments1; AssetSale_ItemBody_Table.Comments1; ConsumablesIssuebody_table.Comments1; CoverNoteItemDetails_Table.Comments1; deleteddutydrawback.Comments1; DeliveryPackingListDetails_Table.Comments1; Enquiry_EnquiredProducts_Table.Comments1; EPCGLicenseDetails_Table.Comments1; FillingStationCreditBill_Body_Table.Comments1; FillingStationSummaryBill_Body_Table.Comments1,Exact/alias match exists in currently integrated ERP tables.
Item Body,Comments2,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.Comments2; Transaction_Payments_Table.Comments2,AdvanceLicenseDetails_Table.Comments2; AssetAllotmentDetails_Table.Comments2; AssetSale_AdjustmentsBody_Table.Comments2; AssetSale_ItemBody_Table.Comments2; ConsumablesIssuebody_table.Comments2; CoverNoteItemDetails_Table.Comments2; deleteddutydrawback.Comments2; DeliveryPackingListDetails_Table.Comments2; Enquiry_EnquiredProducts_Table.Comments2; EPCGLicenseDetails_Table.Comments2; FillingStationCreditBill_Body_Table.Comments2; FillingStationSummaryBill_Body_Table.Comments2,Exact/alias match exists in currently integrated ERP tables.
Item Body,Comments3,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.Comments3; Transaction_Payments_Table.Comments3,AdvanceLicenseDetails_Table.Comments3; AssetAllotmentDetails_Table.Comments3; AssetSale_AdjustmentsBody_Table.Comments3; AssetSale_ItemBody_Table.Comments3; ConsumablesIssuebody_table.Comments3; CoverNoteItemDetails_Table.Comments3; deleteddutydrawback.Comments3; DeliveryPackingListDetails_Table.Comments3; Enquiry_EnquiredProducts_Table.Comments3; EPCGLicenseDetails_Table.Comments3; FillingStationCreditBill_Body_Table.Comments3; FillingStationSummaryBill_Body_Table.Comments3,Exact/alias match exists in currently integrated ERP tables.
Item Body,Comments4,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.Comments4; Transaction_Payments_Table.Comments4,AdvanceLicenseDetails_Table.Comments4; AssetAllotmentDetails_Table.Comments4; AssetSale_AdjustmentsBody_Table.Comments4; AssetSale_ItemBody_Table.Comments4; CoverNoteItemDetails_Table.Comments4; deleteddutydrawback.Comments4; DeliveryPackingListDetails_Table.Comments4; Enquiry_EnquiredProducts_Table.Comments4; EPCGLicenseDetails_Table.Comments4; FillingStationCreditBill_Body_Table.Comments4; FillingStationSummaryBill_Body_Table.Comments4; ledbak2118.Comments4,Exact/alias match exists in currently integrated ERP tables.
Item Body,Comments5,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.Comments5; Transaction_Payments_Table.Comments5,AdvanceLicenseDetails_Table.Comments5; AssetAllotmentDetails_Table.Comments5; AssetSale_AdjustmentsBody_Table.Comments5; AssetSale_ItemBody_Table.Comments5; CoverNoteItemDetails_Table.Comments5; deleteddutydrawback.Comments5; DeliveryPackingListDetails_Table.Comments5; Enquiry_EnquiredProducts_Table.Comments5; EPCGLicenseDetails_Table.Comments5; FillingStationCreditBill_Body_Table.Comments5; FillingStationSummaryBill_Body_Table.Comments5; ledbak2118.Comments5,Exact/alias match exists in currently integrated ERP tables.
Item Body,Location,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.Location; Transaction_ItemBody_Table.Location,Apparel_ReorderLevels_Table.Location; AssetBookDepreciation_Header_Table.Location; Assets_GenerateAssetIdsDetails_Table.Location; AssetStockLedger_Table.Location; AssetTaxDepreciation_Header_Table.Location; AssetTypeIDGenerationDetails_Table.Location; DeliveryPackingListDetails_Table.Location; Employee_PaydetailsBySimplePaystructure_Table.Location; Employee_SimplePaystructureDetails_Table.Location; EmployeeAttendanceDetails_Table.Location; LastYearInformation_Header_Table.Location; Master_Balance_table.Location,Exact/alias match exists in currently integrated ERP tables.
Item Body,Serial Nos,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Item Body,Tax Adj,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.TaxAdj,Transaction_BodyTaxes_Table.TaxAdj; Transaction_ItemBody_Table.TaxAdj; Transaction_ItemBody1_Table.TaxAdj,Exact/alias match exists in currently integrated ERP tables.
Item Body,Freight,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.Freight,PermitDetails_Table.Freight; Transaction_ItemBody_Table.Freight,Exact/alias match exists in currently integrated ERP tables.
Item Body,Other Chgs,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Item Body,Batch,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.Batch,ApplicationForm_Header_Table.Batch; AssetStockLedger_Table.Batch; pkgRates.Batch; PreviousYear_POSSales_Table.Batch; StockLedger_Table.Batch; Transaction_ItemBody_Table.Batch; Transaction_ItemBody1_Table.Batch; Transaction_ReturnItemBody_Table.Batch,Exact/alias match exists in currently integrated ERP tables.
Header,Exchange Rate,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.ExchangeRate; Transaction_ItemBody_Table.ExchangeRate; Transaction_Payments_Table.ExchangeRate,BillWiseBalances2020.ExchangeRate; billwiseOpeningBalances.ExchangeRate; deleteddutydrawback.ExchangeRate; ExchangeRateDetails_Table.ExchangeRate; LastYearCreditorBalances.ExchangeRate; ledbak2118.ExchangeRate; Ledger_Table.ExchangeRate; LedgerAccErr.ExchangeRate; obbca.ExchangeRate; obstodelete.ExchangeRate; OldYearCreditorsBillWiseBalances.ExchangeRate; PreviousYear_POSPartyDetails_Table.ExchangeRate,Exact/alias match exists in currently integrated ERP tables.
Header,Get Advance,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Header,Adv Set Off,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Header,Taxes,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.Taxes,AssetSale_Header_Table.Taxes; Master_Preferences_Table.Taxes; Master_Preferences_Tablebak.Taxes; PreviousYear_POSPartyDetails_Table.Taxes; ServiceBooking_Header_Table.Taxes; TaxClass_Taxes_Table.Taxes; Taxes_TaxComponents_Table.Taxes; Transaction_Header_Table.Taxes,Exact/alias match exists in currently integrated ERP tables.
Header,Price List,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.PriceList,AssetSale_Header_Table.PriceList; Master_Preferences_Table.PriceList; Master_Preferences_Tablebak.PriceList; Master_Prices_Table.PriceList; Master_UnitWisePrices_Table.PriceList; PreviousYear_POSPartyDetails_Table.PriceList; Pricelist_Rate_table.PriceList; Transaction_Header_Table.PriceList,Exact/alias match exists in currently integrated ERP tables.
Header,Fill Order Details,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Header,MR VNo,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Header,Fill MR Details,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Header,Fill Item Body,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Header,Fill Adjustments,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Header,Agent,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.Agent,PreviousYear_POSPartyDetails_Table.Agent; Transaction_Header_Table.Agent,Exact/alias match exists in currently integrated ERP tables.
Header,Courier Details,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Header,Transporter,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.Transporter,Master_Preferences_Table.Transporter; Master_Preferences_Tablebak.Transporter; PreviousYear_POSPartyDetails_Table.Transporter; Transaction_Header_Table.Transporter; TripsheetDetails_Table.Transporter; UnloadingSheetDetails_Table.Transporter,Exact/alias match exists in currently integrated ERP tables.
Header,Vehicle No,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.VehicleNo; Transaction_ItemBody_Table.VehicleNo,FillingStationSummaryBill_Body_Table.VehicleNo; PermitDetails_Table.VehicleNo; PreviousYear_POSPartyDetails_Table.VehicleNo; PreviousYear_POSSales_Table.VehicleNo; Transaction_EWBDetails_Table.VehicleNo; Transaction_ExecutiveTimeSheet_Table.VehicleNo; Transaction_Header_Table.VehicleNo; Transaction_ItemBody_Table.VehicleNo; Transaction_ItemBody1_Table.VehicleNo; Transaction_ReturnItemBody_Table.VehicleNo; Transaction_ServiceHeader_Table.VehicleNo; vehicle_insurance_table.VehicleNo,Exact/alias match exists in currently integrated ERP tables.
Header,Vehicle Type,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.VehicleType,PreviousYear_POSPartyDetails_Table.VehicleType; TirePutOff_Header_Table.VehicleType; TirePutOn_Header_Table.VehicleType; Transaction_Header_Table.VehicleType; TripsheetDetails_Table.VehicleType; UnloadingSheetDetails_Table.VehicleType,Exact/alias match exists in currently integrated ERP tables.
Header,LR No,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.LRNo,LRBillDetails_Table.LRNo; LRReceiptDetails_Table.LRNo; PreviousYear_POSPartyDetails_Table.LRNo; Transaction_AdditionalCharges_Table.LRNo; Transaction_EWBDetails_Table.LRNo; Transaction_Header_Table.LRNo; Tripsheet_ItemDetails_Table.LRNo; UnloadingSheet_ItemDetails_Table.LRNo,Exact/alias match exists in currently integrated ERP tables.
Header,LR Date,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.LRDate,LRReceiptDetails_Table.LRDate; PreviousYear_POSPartyDetails_Table.LRDate; Transaction_AdditionalCharges_Table.LRDate; Transaction_EWBDetails_Table.LRDate; Transaction_Header_Table.LRDate,Exact/alias match exists in currently integrated ERP tables.
Header,Ref VoucherSeries,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.ReferenceVoucherSeries,AssetSale_Reference_Table.RefVoucherSeries; BillWiseBalances2020.ReferenceVoucherSeries; billwiseOpeningBalances.ReferenceVoucherSeries; LastYearCreditorBalances.ReferenceVoucherSeries; PreviousYear_POSPartyDetails_Table.ReferenceVoucherSeries; temp_adjbillspay.ReferenceVoucherSeries; Transaction_Header_Table.ReferenceVoucherSeries,Exact/alias match exists in currently integrated ERP tables.
